"Papers","Affiliation","Areas"
"4","The Wharton School, University of Pennsylvania, Philadelphia, Pennsylvania 19104-6370",""
"4","Faculty of Management","decision analysis"
"4","INSEAD, Boulevard de Constance, 77305 Fontainebleau, Cedex, France",""
"4","School of Business Administration, The University of Michigan, Ann Arbor, Michigan 48109-1234",""
"4","Department of Marketing, The Wharton School, University of Pennsylvania, Philadelphia, Pennsylvania 19104","marketing"
"4","School of Hotel Administration, Cornell University, Ithaca, New York 14853","behavioral economics, finance, marketing"
"4","Systems Engineering, Virginia Polytechnic Institute",""
"4","School of Management, Georgia Institute of Technology, Atlanta, Georgia 30332",""
"4","Darden Graduate School of Business, University of Virginia, Charlottesville, Virginia 22906","accounting"
"4","Department of Economics, Duke University, Durham, North Carolina 27708","finance, marketing"
"4","Kenan-Flagler Business School, University of North Carolina at Chapel Hill, Chapel Hill, North Carolina 27599-3490",""
"4","Department of Finance, Louisiana State University, Baton Rouge, Louisiana 70803","accounting, finance"
"4","School of Management, The University of Texas at Dallas, Richardson, Texas 75083-0688",""
"4","The Robert H. Smith School of Business, University of Maryland, College Park, Maryland 20742",""
"4","University of Michigan Business School, Ann Arbor, Michigan 48109",""
"4","Johnson Graduate School of Management, Cornell University, Ithaca, New York 14850","accounting, operations management"
"4","McDonough School of Business, Georgetown University, Washington, D.C. 20057",""
"4","University of Rochester, Rochester, New York 14627","finance, marketing, operations management"
"4","RUTCOR, Rutgers University, 640 Bartholomew Road, Piscataway, New Jersey 08854-8003",""
"4","Smeal College of Business Administration, Pennsylvania State University, University Park, Pennsylvania 16802",""
"4","Department of Agricultural","operations management, special section of management science on business and climate change"
"4","Department of Industrial Management",""
"4","National Bureau of Economic Research","entrepreneurship and innovation, finance"
"4","Public Affairs, Columbia University, New York, New York 10027","finance, special section of management science on business and climate change"
"4","School of Accountancy","accounting"
"4","School of Management, Boston University, 595 Commonwealth Avenue, Boston, Massachusetts 02215",""
"4","Nanyang Technological University, Singapore 639798","accounting, marketing"
"4","John M. Olin School of Business, Washington University in St. Louis, St. Louis, Missouri 63130","operations management"
"4","The Heinz School of Public Policy",""
"4","Graduate School of Management, University of California, Davis, California 95616","finance, information systems"
"4","Sauder School of Business, University of British Columbia, Vancouver, British Columbia, Canada V6T 1Z2","marketing"
"4","Northwestern University, Evanston, Illinois 60208","business strategy, operations management"
"4","Graduate School of Business, Columbia University, 3022 Broadway, New York, New York 10027-6902",""
"4","Kellogg School of Management, Northwestern University, 2001 Sheridan Road, Evanston, Illinois 60208",""
"4","Graduate School of Business, University of Chicago, 5807 South Woodlawn Avenue, Chicago, Illinois 60637",""
"4","Paul Merage School of Business, University of California, Irvine, California 92697","accounting, behavioral economics and decision analysis"
"4","Department of Marketing, Robert H. Smith School of Business, University of Maryland, College Park, Maryland 20742","marketing"
"4","Technology, Rensselaer Polytechnic Institute, Troy, New York 12180","information systems"
"4","Hong Kong University of Science and Technology, Hong Kong","accounting, finance"
"4","Department of Marketing, Hong Kong University of Science and Technology, Clear Water Bay, Kowloon, Hong Kong","information systems, marketing"
"4","College of Business, University of Illinois at Urbana-Champaign, Champaign, Illinois 61820",""
"4","INSEAD, 138676 Singapore","healthcare management, operations management"
"4","Operations Management Area, INSEAD, 77305 Fontainebleau, France","healthcare management, operations management, stochastic models and simulation"
"4","Organizational Economics, Copenhagen Business School, 2000 Frederiksberg, Denmark","entrepreneurship and innovation, organizations"
"4","Erasmus School of Economics, Erasmus University, 3000 DR Rotterdam, The Netherlands","decision analysis"
"4","Department of Economics, University of Virginia, Charlottesville, Virginia 22904","marketing"
"4","Decision Sciences, Kellogg School of Management, Northwestern University, Evanston, Illinois 60208","operations management, special issue on business analytics"
"4","Mathematical Engineering, Stanford University, Stanford, California 94305","finance, management science special section on data-driven prescriptive analytics, stochastic models and simulation"
"4","and School of Economics","behavioral economics and decision analysis, special issue on digital finance"
"4","Business, Universitat Pompeu Fabra","business strategy, operations management"
"4","School of Business, George Washington University, Washington, DC 20052","business strategy, finance, marketing"
"4","HEC Paris, 78351 Jouy en Josas Cedex, France","finance"
"4","Jesse H. Jones Graduate School of Business, Rice University, Houston, Texas 77005","finance, marketing, operations management"
"4","Inge Marcus Department of Industrial","optimization, stochastic models and simulation"
"4","Manufacturing Engineering, Pennsylvania State University, University Park, Pennsylvania 16802","optimization, stochastic models and simulation"
"4","London Business School, Regent's Park, London NW1 4SA, United Kingdom","business strategy, operations management, optimization"
"4","Department of Economics and Business, Universitat Pompeu Fabra, 08005 Barcelona, Spain","decision analysis, finance"
"4","Department of Economics, University of California, Berkeley, Berkeley, California 94720","decision analysis, marketing, operations management"
"4","Department of Economics, New York University, New York, New York 10012","behavioral economics, behavioral economics and decision analysis, teck ho, and terrance odean, special issue editors"
"4","Department of Information, Operations","information systems, optimization, stochastic models and simulation"
"4","Smith School of Business, University of Maryland, College Park, Maryland 20742","accounting, finance, marketing"
"4","Operations Research Department, Columbia University, New York, New York 10027","finance, revenue management and market analytics, stochastic models and simulation"
"4","University of Cologne, 50923 Cologne, Germany","behavioral economics, behavioral economics and decision analysis, decision analysis, marketing"
"4","Department of Risk Management","decision analysis, finance"
"4","Rotterdam School of Management, Erasmus University, 3000 DR Rotterdam, The Netherlands","behavioral economics, finance, marketing, special issue editors"
"4","Department of Public Finance, University of Innsbruck, A-6020 Innsbruck, Austria","behavioral economics, decision analysis, teck ho, and terrance odean, special issue editors"
"4","Finance, City University of Hong Kong, Kowloon, Hong Kong","finance"
"4","Department of Finance, School of Business","finance"
"4","Tuck School of Business at Dartmouth, Hanover, New Hampshire 03755","operations management"
"4","Management, Tsinghua University, 100084 Beijing, China","behavioral analysis, finance, marketing, optimization"
"4","Department of Economics, University of Oxford, Oxford OX1 3UQ, United Kingdom","behavioral economics, behavioral economics and decision analysis, finance, healthcare management"
"4","Scheller College of Business, Georgia Institute of Technology, Atlanta, Georgia 30332","entrepreneurship and innovation, information systems, operations management"
"4","Decision Sciences, INSEAD, Singapore 138676","behavioral economics and decision analysis, decision analysis, operations management"
"4","Management, Shanghai Jiao Tong University, Shanghai 200052, China","finance, optimization"
"4","Department of Information, Risk","data science, operations management, stochastic models and simulation"
"4","Department of Statistics, Iowa State University, Ames, Iowa 50011","finance"
"4","Finance, University of Zurich, 8032 Zurich, Switzerland","business strategy, decision analysis, finance"
"4","and Swiss Finance Institute, 8006 Zurich, Switzerland","business strategy, finance"
"4","Department of Economics, University of California, Santa Barbara, Santa Barbara, California 93106","behavioral economics"
"4","H. John Heinz III College, Carnegie Mellon University, Pittsburgh, Pennsylvania 15213","finance, information systems"
"4","Federal Reserve Bank of Chicago, Chicago, Illinois 60604","finance"
"4","Alberta School of Business, University of Alberta, Edmonton, Alberta T6G 2R6, Canada","accounting, finance"
"4","Cox Business School, Southern Methodist University, Dallas, Texas 75275","operations management, special issue on business analytics"
"4","World Bank, Washington, DC 20433","entrepreneurship and innovation, finance, marketing"
"4","Hong Kong University of Science and Technology, Clear Water Bay, Kowloon, Hong Kong","finance, marketing"
"4","Perelman School of Medicine, University of Pennsylvania, Philadelphia, Pennsylvania 19104","operations management"
"4","CUHK Business School, Chinese University of Hong Kong, Shatin, Hong Kong, China","marketing"
"4","Lee Kong Chian School of Business, Singapore Management University, Singapore 188065","marketing, operations management"
"4","Center for Research in Experimental Economics","behavioral economics, operations management"
"4","Economics, University of Lausanne, CH-1015 Lausanne, Switzerland","behavioral economics, behavioral economics and decision analysis, finance"
"4","Humanities","behavioral economics, finance"
"4","University of Kansas, Lawrence, Kansas 66045","finance, marketing"
"4","Daniels College of Business, University of Denver, Denver, Colorado 80208","information systems"
"4","and Centre for Economic","business strategy, entrepreneurship and innovation, finance"
"4","Geneva School of Economics","finance, special issue on the human-algorithm connection"
"4","Department of Finance, NUS Business School, National University of Singapore, Singapore 119245","finance, optimization"
"4","Centre for Decision Research","behavioral economics, behavioral economics and decision analysis, judgment and decision making"
"4","Department of Management Information Systems, Eller College of Management, University of Arizona, Tucson, Arizona 85721","entrepreneurship and innovation, information systems, marketing"
"4","Dartmouth College, Hanover, New Hampshire 03755","behavioral economics and decision analysis, finance"
"4","and Tinbergen Institute, 1082 MS Amsterdam, Netherlands","behavioral economics, finance, operations management"
"4","Finance, University of St. Gallen, CH-9000 St. Gallen, Switzerland","accounting, behavioral economics, finance"
"4","CUHK Business School, Chinese University of Hong Kong, Shatin, Hong Kong","behavioral economics, behavioral economics and decision analysis, marketing"
"4","Department of Finance, London School of Economics, London WC2A 2AE, United Kingdom","business strategy, finance"
"4","Rawls College of Business, Texas Tech University, Lubbock, Texas 79409","finance, information systems, special issue on ai for finance and business decisions"
"4","Information Science, University of Pennsylvania, Philadelphia, Pennsylvania 19104","behavioral economics, finance, organizations, special issue on the human-algorithm connection"
"4","Department of Economics, Indiana University, Bloomington, Indiana 47405","behavioral economics and decision analysis, finance, marketing"
"4","Indiana University, Bloomington, Indiana 47405","accounting, finance"
"4","Lerner College of Business","finance, information systems"
"4","University of Bonn, 53113 Bonn, Germany","behavioral economics, behavioral economics and decision analysis, decision analysis"
"4","Department of Economics, Finance","finance"
"4","University of California, Davis, Davis, California 95616","finance"
"4","Coller School of Management, Tel Aviv University, Tel Aviv 6997801, Israel","information systems, operations management"
"4","NUS Business School","operations management, optimization"
"4","Telfer School of Management, University of Ottawa, Ottawa, Ontario K1N 6N5, Canada","finance, optimization"
"4","Arizona State University, Tempe, Arizona 85281","accounting, finance, special issue on the human-algorithm connection"
"4","Imperial College Business School, London SW7 2AZ, United Kingdom","finance"
"4","Department of Mathematics, Risk Management Institute,","finance"
"4","Risk","decision analysis, finance"
"4","Division of Banking","finance"
"4","Robert J. Trulaske, Sr. College of Business, University of Missouri, Columbia, Missouri 65211","accounting, finance"
"4","Finance, University of Waterloo, Waterloo, Ontario N2L 3G1, Canada","accounting"
"4","Research Institute for Interdisciplinary Sciences, School of Information Management","operations management, optimization"
"4","Analytics, National University of Singapore, Singapore 119245","behavioral economics and decision analysis, judgment and decision making, optimization"
"4","Shanghai Advanced Institute of Finance, Shanghai Jiao Tong University, Shanghai 200030, China","finance"
"4","Business Policy, HEC Paris, 78350 Jouy-en-Josas, France","behavioral economics, entrepreneurship and innovation, organizations"
"4","IE Business School, IE University, 28006 Madrid, Spain","behavioral economics and decision analysis, finance"
"4","Academy of Mathematics and Systems Science, Chinese Academy of Sciences, Beijing 100190, China","decision analysis, finance, special issue on the human-algorithm connection"
"4","Department of Economics, Virginia Tech, Blacksburg, Virginia 24061","behavioral economics, decision analysis, special issue on the human-algorithm connection"
"4","Coller School of Management, Tel Aviv University, Tel Aviv 69978, Israel","behavioral economics and decision analysis, business strategy, optimization"
"4","Management, Cornell SC Johnson College of Business, Cornell University, Ithaca, New York 14853","finance, information systems"
"4","NYU Stern School of Business, New York, New York 10012","data science, optimization"
"4","Finance, School of Economics","accounting, finance"
"4","Department of Economics, University of Bologna, 40126 Bologna, Italy","behavioral economics, behavioral economics and decision analysis, business strategy, decision analysis"
"4","Harvard Kennedy School, Cambridge, Massachusetts 02138","behavioral economics and decision analysis, business strategy, judgment and decision making"
"4","Economic Research, Singapore 117592","finance"
"4","Business School, Nankai University, Tianjin 300071, China","accounting, operations management"
"4","Danish Finance Institute, 2000 Frederiksberg, Denmark","accounting, finance"
"4","University of Texas at Austin, Austin, Texas 78712","accounting, information systems"
"4","Management, Nanchang University, Nanchang 330031, China","finance, information systems"
"4","Research Center for Contemporary Management, Key Research Institute of Humanities","data science, information systems, operations management"
"4","Social Sciences at Universities, School of Economics","data science, information systems, operations management"
"4","Heinz College of Information Systems","information systems, optimization and decision analytics"
"4","Shenzhen Finance Institute, School of Management","accounting, finance, marketing, optimization"
"4","Department of Economics, Finance,","accounting, behavioral economics and decision analysis, business strategy, finance"
"4","Department of Economics, Boston College, Chestnut Hill, Massachusetts 02467","behavioral economics and decision analysis, business strategy, marketing"
"4","Bocconi Institute for Data Science","business strategy, decision analysis, marketing"
"4","Graduate School of Management, University of California Davis, Davis, California 95616","accounting, information systems, marketing"
"4","Business School, University of Mannheim, 68131 Mannheim, Germany","entrepreneurship and innovation, finance, information systems, organizations"
"4","CUHK Business School, The Chinese University of Hong Kong, Shatin, Hong Kong, China","behavioral economics and decision analysis, marketing, operations management"
"4","International Monetary Fund, Washington, District of Columbia 20431","finance"
"4","School of Business, Wake Forest University, Winston-Salem, North Carolina 27109","finance, operations management"
"4","Chinese University of Hong Kong, Hong Kong","finance, marketing"
"4","UCL School of Management, University College London, London E14 5AA, United Kingdom","marketing, operations management, organizations"
"4","INSEAD, Fontainebleau 77300, France","decision analysis, marketing, optimization"
"4","Business School, University of International Business and Economics, Beijing 100029, China","accounting, finance"
"4","Management, Shanghai Jiao Tong University, Shanghai 200240, China","big data analytics, finance, management science special section on data-driven prescriptive analytics, operations management"
"4","Yale University, New Haven, Connecticut 06520","finance, marketing"
"4","Management, Beihang University, Beijing 100191, China","behavioral economics and decision analysis, information systems, marketing, operations management"
"4","C.T. Bauer College of Business, University of Houston, Houston, Texas 77204","accounting, information systems"
"4","Business Administration, Chongqing University, Chongqing 400044, China","information systems, marketing"
"4","Marriott School of Business, Brigham Young University, Provo, Utah 84602","accounting, finance"
"4","Samuel Curtis Johnson Graduate School of Management, SC Johnson College of Business, Cornell University, Ithaca, New York 14853","behavioral economics and decision analysis, operations management"
"4","School of Management, Jinan University, Guangzhou 510632, China","finance"
"4","Pamplin College of Business, Virginia Tech, Blacksburg, Virginia 24061","information systems, marketing"
"4","Microsoft Research, New York, New York 10012","behavioral economics and decision analysis, data science, revenue management and market analytics"
"4","King’s Business School, King’s College London, London WC2B 4BG, United Kingdom","behavioral economics and decision analysis, finance"
"4","Department of Management, University of Toronto Scarborough, Toronto, Ontario M1C 1A4, Canada","finance, revenue management and market analytics"
"4","Department of Management Science & Engineering, Stanford University, Stanford, California 94305","data science, finance"
"4","Monetary","finance, special section of management science : blockchains and crypto economics"
"4","UCLA Anderson School of Management, Los Angeles, California 90095","marketing, revenue management and market analytics"
"4","Ifo Institute for Economic Research, 81679 Munich, Germany","finance, marketing"
"4","Decision Analytics, Hong Kong University of Science and Technology, Hong Kong","data science, optimization, stochastic models and simulation"
"4","Cheung Kong Graduate School of Business, Beijing 100006, China","behavioral economics and decision analysis, finance, information system, operations management"
"4","Vrije Universiteit Amsterdam, 1081 HV Amsterdam, Netherlands","finance, healthcare management, information systems"
"4","Department of Marketing, City University of Hong Kong, Kowloon, Hong Kong, China","marketing"
"4","Norwegian School of Economics, 5045 Bergen, Norway","business strategy, finance, sustainability"
"4","and Max Planck Institute for Research on Collective Goods, 53113 Bonn, Germany","behavioral economics and decision analysis, healthcare management"
"4","and CEPR, London EC1V 0DX, United Kingdom","business strategy, finance, healthcare management"
"4","Department of Decisions, Operations","information systems, operations management, optimization and decision analytics"
"3","Burroughs Corporation",""
"3","Stevens Institute of Technology",""
"3","General Electric Company, New York",""
"3","University of California at Berkeley",""
"3","The University of Texas",""
"3","The Technological Institute, Northwestern University",""
"3","University of Sydney, Australia",""
"3","Illinois Institute of Technology",""
"3","Planning Research Corporation, Los Angeles, California",""
"3","National Planning Association, Washington, D. C.",""
"3","Graduate School of Business, University of Chicago",""
"3","University of California, Berkeley, California",""
"3","Technion, Israel Institute of Technology",""
"3","Thomas J. Watson Research Center, IBM Corporation",""
"3","The Johns Hopkins University, Baltimore, Maryland",""
"3","University of Michigan, Ann Arbor",""
"3","Graduate School of Business, University of Pittsburgh",""
"3","IBM Corporation",""
"3","McKinsey & Company, Inc., New York City",""
"3","Cornell University, Ithaca, New York",""
"3","University of California, Irvine",""
"3","University of Delhi, India",""
"3","Arthur D. Little, Inc., Cambridge, Massachusetts",""
"3","Institute of Statistics, Texas A & M University",""
"3","University of Birmingham",""
"3","Institute for Defense Analyses",""
"3","Dalhousie University, Halifax, Nova Scotia",""
"3","University of Melbourne, Australia",""
"3","Bell Telephone Laboratories, Holmdel, New Jersey",""
"3","Public Administration, Cornell University",""
"3","University of Miami",""
"3","University of Connecticut",""
"3","IBM, New York Scientific Center",""
"3","Bell Telephone Laboratories, Incorporated, Holmdel, New Jersey",""
"3","University of Missouri",""
"3","Southern Illinois University",""
"3","School of Engineering, Stanford University, Stanford, California 94305",""
"3","University of Arkansas",""
"3","Dalhousie University",""
"3","The University of Western Ontario",""
"3","Illinois State University",""
"3","Michigan State University",""
"3","California State University, Northridge",""
"3","International Institute of Management, Berlin",""
"3","Bell Laboratories",""
"3","Mathematica, Inc., Princeton, New Jersey",""
"3","California Institute of Technology",""
"3","Chase Manhattan Bank",""
"3","Texas A&M University",""
"3","University of Florida, Gainesville",""
"3","Arizona State University",""
"3","San Diego State University",""
"3","European Institute for Advanced Studies in Management",""
"3","University of Illinois, Chicago Circle",""
"3","University of Missouri-St. Louis",""
"3","University of Kentucky",""
"3","University of New Brunswick",""
"3","Control Analysis Corporation, Palo Alto, California",""
"3","Odense University",""
"3","University of Rhode Island",""
"3","DePaul University",""
"3","Decision Focus, Inc., Palo Alto, California",""
"3","INSEAD",""
"3","The European Institute of Business Administration, Fontainebleau, France",""
"3","Eindhoven University of Technology, Eindhoven, The Netherlands",""
"3","John F. Kennedy School of Government, Harvard University, Cambridge, Massachusetts 02138","behavioral economics"
"3","Economics, University of North Carolina, Greensboro, North Carolina 27412",""
"3","Department of Economics, Southern Illinois University, Carbondale, Illinois 62901",""
"3","College of Management Science, University of Lowell, Lowell, Massachusetts 01854",""
"3","School of Business Administration, University of North Carolina, Chapel Hill, North Carolina 27514",""
"3","Department of Industrial Engineering, State University of New York, Buffalo, New York 14260",""
"3","School of Business Administration, University of Wisconsin, Milwaukee, Wisconsin 53201",""
"3","Sloan School of Management, MIT, Cambridge, Massachusetts 02139","data science"
"3","School of Business, State University of New York, Albany, New York 12222",""
"3","School of Management, Rensselaer Polytechnic Institute, Troy, New York 12181",""
"3","Department of Statistics, Virginia Polytechnic Institute",""
"3","Naval Postgraduate School, Monterey, California 93943","decision analysis"
"3","Faculty of Administrative Studies, York University, Toronto, Ontario, Canada M3J 2R6",""
"3","Faculty of Business Administration, Simon Fraser University, Burnaby, British Columbia, Canada V5A 1S6",""
"3","Technion—Israel Institute of Technology, Haifa, Israel",""
"3","Graduate School of Business, University of Washington, Seattle, Washington 98195",""
"3","College of Business Administration, The University of Iowa, Iowa City, Iowa 52242",""
"3","School of Business, University of Wisconsin, Madison, Wisconsin 53706",""
"3","Department of Industrial Engineering, Texas A&M University, College Station, Texas 77843",""
"3","School of Business, Queen's University, Kingston, Ontario, Canada K7L 3N6",""
"3","Department of Management, University of Texas, Austin, Texas 78712",""
"3","Department of Mechanical Engineering, University of Texas, Austin, Texas 78712",""
"3","Department of Operations Research, Naval Postgraduate School, Monterey, California 93943",""
"3","Center for Social","behavioral economics and decision analysis"
"3","A. P. Sloan School of Management, Massachusetts Institute of Technology, Cambridge, Massachusetts 02139",""
"3","Department of Management Science, Virginia Polytechnic Institute",""
"3","Operations Research Department, Naval Postgraduate School, Monterey, California 93943","data science"
"3","Center for Economics",""
"3","Division of Applied Sciences, Harvard University, Cambridge, Massachusetts 02138",""
"3","Systems Engineering, Ohio State University, Columbus, Ohio 43210",""
"3","Department of Management Sciences, University of Iowa, Iowa City, Iowa 52242",""
"3","The Amos Tuck School of Business Administration, Dartmouth College, Hanover, New Hampshire 03755",""
"3","Operations Research, Virginia Polytechnic Institute",""
"3","School of Public Health","healthcare management"
"3","College of Business Administration, University of Oregon, Eugene, Oregon 97403",""
"3","The Weatherhead School of Management, Case Western Reserve University, Cleveland, Ohio 44106",""
"3","Economics, Wilfrid Laurier University, Waterloo, Ontario, Canada N2L 3C5",""
"3","Department of Industrial Engineering, State University of New York at Buffalo, Buffalo, New York 14260",""
"3","School of Business, San Francisco State University, San Francisco, California 94132",""
"3","Department of Management Science, California State University, Fullerton, California 92634",""
"3","School of Business Administration, University of Southern California, Los Angeles, California 90089",""
"3","Department of Operations Research, The George Washington University, Washington, DC 20052",""
"3","Department of industrial Engineering, University of Wisconsin, Madison, Wisconsin 53706",""
"3","School of Business, University of Michigan, Ann Arbor, Michigan 48109",""
"3","Faculty of Management, Tel Aviv University, Tel Aviv 69978, Israel",""
"3","John E. Anderson Graduate School of Management, University of California, Los Angeles, California 90024",""
"3","Department of Management Science, University of Washington, Seattle, Washington 98195",""
"3","College of Business Administration, University of Florida, Gainesville, Florida 32611",""
"3","Applied Science, Princeton University, Princeton, New Jersey 08544",""
"3","Systems","big data analytics"
"3","Engineering Systems Research Center, University of California, Berkeley, California 94720",""
"3","Massachusetts Institute of Technology, Sloan School of Management, Cambridge, Massachusetts 02139",""
"3","School of Business Administration, The University of Michigan, Ann Arbor, Michigan 48109",""
"3","Institute of Statistics",""
"3","Department of Management Sciences, The University of Iowa, Iowa City, Iowa 52242",""
"3","Karl Eller Graduate School of Management, University of Arizona, Tucson, Arizona 85721",""
"3","Institute of Safety",""
"3","Information Sciences, University of Houston, Houston, Texas 77204-6282",""
"3","Department of Management, The University of Texas at Austin, Austin, Texas 78712",""
"3","AT&T Bell Laboratories, 600 Mountain Avenue, Murray Hill, New Jersey 07974",""
"3","School of Computer Science, Carnegie Mellon University, Pittsburgh, Pennsylvania 15213","behavioral economics and decision analysis"
"3","Department of Management, Terry College of Business, University of Georgia, Athens, Georgia 30602",""
"3","Temple University, Philadelphia, Pennsylvania 19122","accounting"
"3","Department of Statistics, Carnegie Mellon University, Pittsburgh, Pennsylvania 15213",""
"3","Walter A. Haas School of Business, University of California, Berkeley, Berkeley, California 94720","revenue management and market analytics"
"3","Stern School of Business, New York University, New York, New York 10003","accounting, finance"
"3","Information Systems, Arizona State University, Tempe, Arizona 85287-4206",""
"3","Management, The Hong Kong University of Science and Technology, Hong Kong","accounting, operations management"
"3","Stern School of Business, New York University, New York, New York 10006",""
"3","Krannert Graduate School of Management, Purdue University, West Lafayette, Indiana 47907-1310",""
"3","S. C. Johnson Graduate School of Management, Cornell University, Ithaca, New York 14853",""
"3","Economics, University of New Hampshire, Durham, New Hampshire 03824","accounting"
"3","William E. Simon Graduate School of Business, University of Rochester, Rochester, New York 14627","finance"
"3","AT&T Bell Laboratories, Murray Hill, New Jersey 07974-0636",""
"3","School of Business, University of Washington, Seattle, Washington 98195",""
"3","Graduate School of Business Administration, Fordham University, 113 West 60th Street, New York, New York 10023",""
"3","University of Oregon, Eugene, Oregon 97403","accounting, business strategy"
"3","Management Science, Carlson School of Management, University of Minnesota, Minneapolis, Minnesota 55455",""
"3","Policy, State University of New York at Stony Brook, Stony Brook, New York 11794-3775",""
"3","School of Management, Georgia Institute of Technology, Atlanta, Georgia 30332-0520",""
"3","Graduate Program in Operations Research","optimization"
"3","Sloan School of Management, MIT, Cambridge, Massachusetts 02142","information systems"
"3","University of Auckland, Auckland, New Zealand",""
"3","University of Arizona, Tucson, Arizona 85721","finance, operations management"
"3","Department of Statistics, Stanford University, Stanford, California 94305","management science special section on data-driven prescriptive analytics, stochastic models and simulation"
"3","Management, Technion–Israel Institute of Technology, Haifa 32000, Israel","optimization, stochastic models and simulation"
"3","Management Sciences, Northwestern University, Evanston, Illinois 60208-3119",""
"3","Division of Economics","optimization"
"3","Business, Colorado School of Mines, Golden, Colorado 80401","optimization"
"3","Anderson Graduate School of Management, University of California at Los Angeles, Los Angeles, California 90095","finance"
"3","Krannert Graduate School of Management, 1310 Krannert Building, Purdue University, West Lafayette, Indiana 47907-1310",""
"3","Management, Temple University, Philadelphia, Pennsylvania 19122","information systems"
"3","Graduate School of Business, The University of Chicago, Chicago, Illinois 60637",""
"3","School of Business, Rutgers University, Camden, New Jersey 08102","operations management"
"3","Harvard Business School, Morgan Hall, Soldiers Field, Boston, Massachusetts 02163",""
"3","Center for Research on Information Technology",""
"3","Kelley School of Business, Indiana University, Bloomington, Indiana 47401","finance"
"3","Anderson Graduate School of Management, University of California, Los Angeles, Los Angeles, California 90095","operations management"
"3","The Fuqua School of Business, Duke University, Box 90120, Durham, North Carolina 27708-0120",""
"3","Mechanical",""
"3","Jesse H. Jones Graduate School of Management, Rice University, Houston, Texas 77005",""
"3","The Anderson School at UCLA, 110 Westwood Plaza, Box 951481, Los Angeles, California 90095-1481",""
"3","Engineering Management, The Chinese University of Hong Kong, Shatin, N.T., Hong Kong","finance"
"3","Department of Economics, University of California, Santa Barbara, California 93106","behavioral economics, special section of management science : blockchains and crypto economics"
"3","IEOR Department, Columbia University, New York, New York 10027","operations management, optimization and decision analytics"
"3","Carlson School of Management, University of Minnesota, 321 19th Avenue South, Minneapolis, Minnesota 55455",""
"3","3355 Van Munching Hall, R.H. Smith School of Business, University of Maryland, College Park, Maryland 20742",""
"3","Department of Applied Mathematics, The Hong Kong Polytechnic University, Hung Hom, Kowloon, Hong Kong","finance"
"3","Systems Engineering, Lehigh University, Bethlehem, Pennsylvania 18015","marketing"
"3","School of Public Policy, Georgia Institute of Technology, Atlanta, Georgia 30332","marketing"
"3","Sloan School of Management","operations management"
"3","Department of Operations, Weatherhead School of Management, Case Western Reserve University, Cleveland, Ohio 44106","data science"
"3","Department of Organization",""
"3","Department of Mathematics, National University of Singapore, Singapore 117543",""
"3","Division of Humanities","behavioral economics and decision analysis, data science"
"3","Engineering Management, Hong Kong University of Science and Technology, Clear Water Bay, Kowloon, Hong Kong",""
"3","The Robert H. Smith School of Business, University of Maryland, College Park, Maryland 20742-1815",""
"3","Simon Graduate School of Business, University of Rochester, Rochester, New York 14627","business strategy"
"3","Environmental Economics","finance"
"3","Graduate School of Business, Stanford University, 518 Memorial Way, Stanford, California 94305-5015",""
"3","INSEAD, 1 Ayer Rajah Avenue, 138676 Singapore",""
"3","Division of the Humanities",""
"3","Krannert School of Management, Purdue University, West Lafayette, Indiana 47906","accounting, operations management"
"3","School of Business, University of Wisconsin–Madison, 975 University Avenue, Madison, Wisconsin 53706",""
"3","Lehrstuhl für Bankbetriebslehre, Universität Mannheim, 68131 Mannheim, Germany","behavioral economics"
"3","Department of Management Sciences, University of Waterloo, Waterloo, Ontario N2L 3G1, Canada","healthcare management"
"3","The Wharton School, University of Pennsylvania, 3730 Walnut Street, Philadelphia, Pennsylvania 19104",""
"3","Department of Economics, Massachusetts Institute of Technology, Cambridge, Massachusetts 02142","business strategy, organizations"
"3","David A. Tepper School of Business, Carnegie Mellon University, Pittsburgh, Pennsylvania 15213","information systems"
"3","Systems Engineering, University of Wisconsin–Madison, Madison, Wisconsin 53706","decision analysis"
"3","Operations Management, INSEAD, 77305 Fontainebleau Cedex, France","operations management"
"3","Anderson School of Management, University of California–Los Angeles, Los Angeles, California 90095","behavioral economics and decision analysis, optimization"
"3","NUS Business School, National University of Singapore, Singapore 117592","marketing"
"3","College of Business Administration, Kent State University, Kent, Ohio 44242","decision analysis"
"3","Information Engineering","data science, management science special section on data-driven prescriptive analytics"
"3","Department of Computer Science, Cornell University, Ithaca, New York 14853","behavioral economics and decision analysis, market design, platform, and demand analytics"
"3","IBM T. J. Watson Research Center, Yorktown Heights, New York 10598","operations management, optimization"
"3","Rady School of Management, University of California at San Diego, La Jolla, California 92093","accounting, information systems"
"3","Management Department, The Wharton School, University of Pennsylvania, Philadelphia, Pennsylvania 19104","business strategy, entrepreneurship and innovation"
"3","Henry B. Tippie College of Business, University of Iowa, Iowa City, Iowa 52242","finance"
"3","Mays School of Business, Texas A&M University, College Station, Texas 77843","accounting, information systems"
"3","Logistics Management, The Hong Kong University of Science and Technology, Clear Water Bay, Kowloon, Hong Kong","optimization"
"3","Robinson College of Business, Georgia State University, Atlanta, Georgia 30303","finance, information systems"
"3","Terry College of Business, University of Georgia, Athens, Georgia 30602","finance"
"3","Accounting Department, Smeal College of Business, Pennsylvania State University, University Park, Pennsylvania 16802","accounting"
